Dia,ID,Fila,Columna,Susceptibles,Expuestos,Infectados,Recuperados,Fallecidos,Vacunados
16,4,3,5,8,2,10,0,0,0
16,3,4,0,6,2,7,0,0,0
16,3,4,1,676,190,30,110,14,480
16,3,4,2,13,5,14,2,0,1
16,4,4,3,6,5,9,0,0,0
16,4,4,4,5,2,8,0,0,0
16,0,4,5,0,0,0,0,0,0
16,3,5,0,11,2,12,0,0,0
16,3,5,1,16,2,9,0,0,3
16,3,5,2,5,0,5,0,0,0
16,2,5,3,205654,53419,9499,31816,5909,126147
16,0,5,4,0,0,0,0,0,0
16,0,5,5,0,0,0,0,0,0
17,1,0,0,135492,40311,4398,23900,4424,101600
17,1,0,1,6,0,4,0,0,0
17,1,0,2,10,5,11,3,0,1
17,0,0,3,0,0,0,0,0,0
17,2,0,4,6,6,8,0,0,0
17,2,0,5,8,2,10,0,0,0
17,1,1,0,18,8,11,0,0,3
17,1,1,1,6,0,4,0,0,0
17,1,1,2,9,10,11,4,0,1
17,0,1,3,0,0,0,0,0,0
17,2,1,4,6,1,8,0,0,0
17,2,1,5,7,8,9,0,0,1
17,3,2,0,14,8,10,1,0,2
17,1,2,1,10,1,9,0,0,0
17,0,2,2,0,0,0,0,0,0
17,4,2,3,10,5,11,3,0,1
17,4,2,4,5,0,5,0,0,0
17,4,2,5,7,4,9,0,0,0
17,3,3,0,9,4,10,1,0,1
17,3,3,1,6,1,8,0,0,0
17,4,3,2,16,10,9,2,0,3
17,4,3,3,246550,64429,13429,38473,7160,142312
17,4,3,4,9,6,11,3,0,1
17,4,3,5,8,2,10,0,0,0
17,3,4,0,6,2,7,0,0,0
17,3,4,1,646,193,25,112,14,510
17,3,4,2,12,6,14,2,0,1
17,4,4,3,5,6,9,0,0,0
17,4,4,4,5,2,8,0,0,0
17,0,4,5,0,0,0,0,0,0
17,3,5,0,10,3,12,0,0,0
17,3,5,1,16,2,9,0,0,3
17,3,5,2,5,0,5,0,0,0
17,2,5,3,198324,54434,7768,32420,6021,133477
17,0,5,4,0,0,0,0,0,0
17,0,5,5,0,0,0,0,0,0
18,1,0,0,130501,40797,3571,24188,4477,106591
18,1,0,1,6,0,4,0,0,0
18,1,0,2,10,5,11,3,0,1
18,0,0,3,0,0,0,0,0,0
18,2,0,4,6,6,8,0,0,0
18,2,0,5,8,2,10,0,0,0
18,1,1,0,18,8,11,0,0,3
18,1,1,1,6,0,4,0,0,0
18,1,1,2,9,10,11,4,0,1
18,0,1,3,0,0,0,0,0,0
18,2,1,4,6,1,8,0,0,0
18,2,1,5,7,9,8,0,0,1
18,3,2,0,13,8,11,1,0,2
18,1,2,1,10,1,9,0,0,0
18,0,2,2,0,0,0,0,0,0
18,4,2,3,9,6,11,3,0,1
18,4,2,4,5,0,5,0,0,0
18,4,2,5,6,5,9,0,0,0
18,3,3,0,9,4,10,1,0,1
18,3,3,1,5,2,8,0,0,0
18,4,3,2,16,11,8,2,0,3
18,4,3,3,236470,66076,10643,39436,7336,152392
18,4,3,4,8,7,11,3,0,1
18,4,3,5,7,3,10,0,0,0
18,3,4,0,6,2,7,0,0,0
18,3,4,1,636,194,24,112,14,520
18,3,4,2,12,6,14,2,0,1
18,4,4,3,5,7,8,0,0,0
18,4,4,4,5,2,8,0,0,0
18,0,4,5,0,0,0,0,0,0
18,3,5,0,9,4,12,0,0,0
18,3,5,1,15,3,9,0,0,3
18,3,5,2,5,0,5,0,0,0
18,2,5,3,196745,54619,7440,32540,6044,135056
18,0,5,4,0,0,0,0,0,0
18,0,5,5,0,0,0,0,0,0
19,1,0,0,125784,41184,2912,24418,4519,111308
19,1,0,1,6,0,4,0,0,0
19,1,0,2,10,5,11,3,0,1
19,0,0,3,0,0,0,0,0,0
19,2,0,4,6,6,8,0,0,0
19,2,0,5,7,3,10,0,0,0
19,1,1,0,17,9,11,0,0,3
19,1,1,1,6,0,4,0,0,0
19,1,1,2,9,10,11,4,0,1
19,0,1,3,0,0,0,0,0,0
19,2,1,4,6,1,8,0,0,0
19,2,1,5,6,10,8,0,0,1
19,3,2,0,12,9,10,2,0,2
19,1,2,1,10,1,9,0,0,0
19,0,2,2,0,0,0,0,0,0
19,4,2,3,8,7,11,3,0,1
19,4,2,4,5,0,5,0,0,0
19,4,2,5,6,5,9,0,0,0
19,3,3,0,8,5,10,1,0,1
19,3,3,1,5,2,8,0,0,0
19,4,3,2,16,12,7,2,0,3
19,4,3,3,227195,67328,8520,40172,7471,161667
